         5037417 function calls (4998212 primitive calls) in 8.333 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
       14    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
        6    0.000    0.000    0.000    0.000 ops.pyx:138(flatten)
      154    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
       75    0.000    0.000    0.000    0.000 stringsource:657(memoryview_cwrapper)
       30    0.000    0.000    0.000    0.000 threading.py:1071(is_alive)
        2    0.000    0.000    0.000    0.000 _ml.py:213(_add_padding)
        1    0.000    0.000    0.000    0.000 pipes.pyx:427(set_annotations)
       13    0.000    0.000    0.000    0.000 myUtils.py:6(__init__)
      366    0.000    0.000    0.000    0.000 file_utils.py:415(is_torch_fx_available)
      154    0.000    0.000    0.000    0.000 rnn.py:234(permute_hidden)
      366    0.000    0.000    0.000    0.000 file_utils.py:334(is_torch_available)
       13    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedWriter' objects}
        3    0.000    0.000    0.000    0.000 {method 'to_array' of 'spacy.tokens.doc.Doc' objects}
        4    0.000    0.000    0.000    0.000 convolution.py:29(predict)
       12    0.000    0.000    0.000    0.000 shape_base.py:82(atleast_2d)
        3    0.000    0.000    0.000    0.000 doc.pyx:701(to_array (wrapper))
        3    0.000    0.000    0.000    0.000 doc.pyx:701(to_array)
       14    0.000    0.000    0.000    0.000 shape_base.py:24(atleast_1d)
       18    0.000    0.000    0.000    0.000 _asarray.py:183(ascontiguousarray)
       12    0.000    0.000    0.000    0.000 ops.pyx:715(hash)
        1    0.000    0.000    0.000    0.000 ops.pyx:278(softmax)
        1    0.000    0.000    0.000    0.000 ops.pyx:536(affine)
       36    0.000    0.000    0.000    0.000 stringsource:999(memoryview_fromslice)
       86    0.000    0.000    0.000    0.000 mem.py:28(__contains__)
        1    0.000    0.000    0.000    0.000 language.py:462(make_doc)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
       28    0.000    0.000    0.000    0.000 iostream.py:418(_is_master_process)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diff)
        6    0.000    0.000    0.000    0.000 fromnumeric.py:52(_wrapfunc)
       26    0.000    0.000    0.000    0.000 shape_base.py:219(_vhstack_dispatcher)
       28    0.000    0.000    0.000    0.000 iostream.py:437(_schedule_flush)
        2    0.000    0.000    0.000    0.000 _ml.py:792(flatten)
      111    0.000    0.000    0.000    0.000 stringsource:345(__cinit__)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:2446(cumsum)
        3    0.000    0.000    0.000    0.000 function_base.py:1153(diff)
       13    0.000    0.000    0.000    0.000 anchor_base.py:249(<lambda>)
        8    0.000    0.000    0.000    0.000 {function Table.__contains__ at 0x7fe2394a2a60}
       30    0.000    0.000    0.000    0.000 threading.py:1017(_wait_for_tstate_lock)
        6    0.000    0.000    0.000    0.000 _asarray.py:23(asarray)
        8    0.000    0.000    0.000    0.000 lookups.py:218(__getitem__)
       68    0.000    0.000    0.000    0.000 doc.pyx:673(__pyx_fuse_1push_back)
        9    0.000    0.000    0.000    0.000 api.py:239(split_backward)
       13    0.000    0.000    0.000    0.000 myUtils.py:47(get_test_cov)
        3    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 ops.pyx:157(unflatten)
        1    0.000    0.000    0.000    0.000 anchor_text.py:147(<listcomp>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amax)
       26    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
       28    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       13    0.000    0.000    0.000    0.000 anchor_text.py:208(<listcomp>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2617(amax)
        1    0.000    0.000    0.000    0.000 anchor_base.py:129(<listcomp>)
        9    0.000    0.000    0.000    0.000 api.py:246(<listcomp>)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
       30    0.000    0.000    0.000    0.000 iostream.py:96(_event_pipe)
       38    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       30    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      111    0.000    0.000    0.000    0.000 stringsource:372(__dealloc__)
        3    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       26    0.000    0.000    0.000    0.000 anchor_explanation.py:12(names)
       13    0.000    0.000    0.000    0.000 anchor_explanation.py:54(coverage)
       75    0.000    0.000    0.000    0.000 stringsource:663(memoryview_check)
        1    0.000    0.000    0.000    0.000 doc.pyx:1022(extend_tensor)
       22    0.000    0.000    0.000    0.000 ops.pyx:122(dropout)
        1    0.000    0.000    0.000    0.000 anchor_base.py:171(get_sample_fns)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:1827(nonzero)
       13    0.000    0.000    0.000    0.000 anchor_explanation.py:7(__init__)
        1    0.000    0.000    0.000    0.000 anchor_base.py:232(get_initial_statistics)
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
        1    0.000    0.000    0.000    0.000 check.py:59(has_shape_inner)
        1    0.000    0.000    0.000    0.000 nonproj.pyx:133(deprojectivize (wrapper))
        8    0.000    0.000    0.000    0.000 {function Table.__getitem__ at 0x7fe2394a2940}
        1    0.000    0.000    0.000    0.000 anchor_text.py:148(<listcomp>)
        6    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       13    0.000    0.000    0.000    0.000 __init__.py:145(_DType_reduce)
        1    0.000    0.000    0.000    0.000 nonproj.pyx:133(deprojectivize)
       30    0.000    0.000    0.000    0.000 threading.py:513(is_set)
       30    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 util.py:143(copy_array)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       13    0.000    0.000    0.000    0.000 anchor_explanation.py:38(precision)
       35    0.000    0.000    0.000    0.000 multiarray.py:143(concatenate)
        9    0.000    0.000    0.000    0.000 api.py:166(<listcomp>)
       18    0.000    0.000    0.000    0.000 api.py:250(sink_return)
       54    0.000    0.000    0.000    0.000 stringsource:518(__getbuffer__)
       36    0.000    0.000    0.000    0.000 stringsource:976(__dealloc__)
       13    0.000    0.000    0.000    0.000 anchor_base.py:320(<lambda>)
       13    0.000    0.000    0.000    0.000 anchor_text.py:209(<listcomp>)
        1    0.000    0.000    0.000    0.000 arc_eager.pyx:553(finalize_doc)
        8    0.000    0.000    0.000    0.000 convolution.py:37(_get_finish_update)
        2    0.000    0.000    0.000    0.000 doc.pyx:1225(set_children_from_heads)
        3    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.000    0.000 stringsource:559(__get__)
       14    0.000    0.000    0.000    0.000 shape_base.py:20(_atleast_1d_dispatcher)
        1    0.000    0.000    0.000    0.000 anchor_base.py:355(<listcomp>)
       13    0.000    0.000    0.000    0.000 myUtils.py:80(<lambda>)
       22    0.000    0.000    0.000    0.000 ops.pyx:124(lambda1)
        3    0.000    0.000    0.000    0.000 arraysetops.py:125(_unpack_tuple)
       12    0.000    0.000    0.000    0.000 shape_base.py:78(_atleast_2d_dispatcher)
        7    0.000    0.000    0.000    0.000 util.py:14(<lambda>)
       12    0.000    0.000    0.000    0.000 ops.pyx:209(get_dropout_mask)
        2    0.000    0.000    0.000    0.000 api.py:309(<listcomp>)
        2    0.000    0.000    0.000    0.000 _ml.py:795(<listcomp>)
        2    0.000    0.000    0.000    0.000 doc.pyx:1255(_set_lr_kids_and_edges)
        1    0.000    0.000    0.000    0.000 pipes.pyx:1106(__get__)
        2    0.000    0.000    0.000    0.000 api.py:294(<listcomp>)
        1    0.000    0.000    0.000    0.000 pipes.pyx:411(genexpr)
        1    0.000    0.000    0.000    0.000 pipes.pyx:85(require_model)
        2    0.000    0.000    0.000    0.000 util.py:340(get_cuda_stream)
        3    0.000    0.000    0.000    0.000 function_base.py:1149(_diff_dispatcher)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:2442(_cumsum_dispatcher)
        3    0.000    0.000    0.000    0.000 arraysetops.py:133(_unique_dispatcher)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:1823(_nonzero_dispatcher)
        5    0.000    0.000    0.000    0.000 doc.pyx:328(__len__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2612(_amax_dispatcher)
